
==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test
🔄 Ripresa dall'ultimo checkpoint trovato in output_dir...

==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test
Trovati 6 checkpoint in qwen-sft-clean. Ripresa dal training...
{'train_runtime': 0.0248, 'train_samples_per_second': 64428.014, 'train_steps_per_second': 16107.004, 'train_loss': 0.0, 'epoch': 3.0}
✅ GRPO V2 (Full Train) Completato!

==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test

==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test

==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test
Trovati 6 checkpoint in qwen-sft-clean. Ripresa dal training...
{'train_runtime': 0.0083, 'train_samples_per_second': 191904.101, 'train_steps_per_second': 47976.025, 'train_loss': 0.0, 'epoch': 3.0}
✅ GRPO V2 (Full Train) Completato!

==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test

==================================================
🚀 RIPRESA GRPO V2 (Senza Early Stopping, 2 Epoche)
==================================================
📊 Dataset caricato: 800 train, 100 test
📝 Inizio training GRPO da zero (con conoscenza SFT caricata)...
{'loss': -0.0093, 'grad_norm': 0.0, 'learning_rate': 9.95e-07, 'num_tokens': 10499.0, 'completions/mean_length': 95.275, 'completions/min_length': 57.6, 'completions/max_length': 155.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 95.275, 'completions/min_terminated_length': 57.6, 'completions/max_terminated_length': 155.2, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 1.0606602430343628, 'rewards/strict_format_and_content_reward/mean': 1.325, 'rewards/strict_format_and_content_reward/std': 1.5292246341705322, 'rewards/semantic_consistency_reward/mean': 0.06999999433755874, 'rewards/semantic_consistency_reward/std': 0.2826575577259064, 'rewards/conditional_perplexity_reward/mean': 0.14077221006155013, 'rewards/conditional_perplexity_reward/std': 0.040789563581347464, 'reward': 1.160772156715393, 'reward_std': 2.698497211933136, 'frac_reward_zero_std': 0.0, 'entropy': 1.518035750091076, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 82.19370185999651, 'epoch': 0.01}
{'loss': 0.0198, 'grad_norm': 0.0, 'learning_rate': 9.8875e-07, 'num_tokens': 20879.0, 'completions/mean_length': 92.5, 'completions/min_length': 60.0, 'completions/max_length': 147.0, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 89.56785736083984, 'completions/min_terminated_length': 60.0, 'completions/max_terminated_length': 126.6, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 1.1700168609619142, 'rewards/strict_format_and_content_reward/mean': 1.2, 'rewards/strict_format_and_content_reward/std': 1.5397216796875, 'rewards/semantic_consistency_reward/mean': 0.06999999731779098, 'rewards/semantic_consistency_reward/std': 0.40259346961975095, 'rewards/conditional_perplexity_reward/mean': 0.16958504617214204, 'rewards/conditional_perplexity_reward/std': 0.08711305111646653, 'reward': 0.9395850539207459, 'reward_std': 2.8359379410743712, 'frac_reward_zero_std': 0.0, 'entropy': 1.590738196671009, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 77.47534192000094, 'epoch': 0.03}
{'loss': -0.1475, 'grad_norm': 0.0, 'learning_rate': 9.825e-07, 'num_tokens': 31018.0, 'completions/mean_length': 90.975, 'completions/min_length': 50.0, 'completions/max_length': 143.2, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 90.975, 'completions/min_terminated_length': 50.0, 'completions/max_terminated_length': 143.2, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.5, 'rewards/strict_format_and_content_reward/std': 1.019242799282074, 'rewards/semantic_consistency_reward/mean': 0.12999999523162842, 'rewards/semantic_consistency_reward/std': 0.19473143815994262, 'rewards/conditional_perplexity_reward/mean': 0.13379062265157698, 'rewards/conditional_perplexity_reward/std': 0.05338452905416489, 'reward': 1.5137906074523926, 'reward_std': 1.8593393839895724, 'frac_reward_zero_std': 0.0, 'entropy': 1.556790864467621, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 75.38588304000223, 'epoch': 0.04}
{'loss': 0.028, 'grad_norm': 0.0, 'learning_rate': 9.7625e-07, 'num_tokens': 41366.0, 'completions/mean_length': 95.2, 'completions/min_length': 55.4, 'completions/max_length': 148.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 92.54642944335937, 'completions/min_terminated_length': 55.4, 'completions/max_terminated_length': 143.2, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.55, 'rewards/strict_format_and_content_reward/std': 0.9797561168670654, 'rewards/semantic_consistency_reward/mean': 0.014999999105930329, 'rewards/semantic_consistency_reward/std': 0.10014275312423707, 'rewards/conditional_perplexity_reward/mean': 0.15333842039108275, 'rewards/conditional_perplexity_reward/std': 0.06013782173395157, 'reward': 1.468338418006897, 'reward_std': 1.6576389439404011, 'frac_reward_zero_std': 0.0, 'entropy': 1.5642099693417548, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 77.64483684000079, 'epoch': 0.05}
{'loss': -0.013, 'grad_norm': 0.0, 'learning_rate': 9.7e-07, 'num_tokens': 52458.0, 'completions/mean_length': 96.8, 'completions/min_length': 60.8, 'completions/max_length': 156.6, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 94.07857208251953, 'completions/min_terminated_length': 60.8, 'completions/max_terminated_length': 139.6, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 1.0606602430343628, 'rewards/strict_format_and_content_reward/mean': 1.4, 'rewards/strict_format_and_content_reward/std': 1.5070744037628174, 'rewards/semantic_consistency_reward/mean': 0.059999996423721315, 'rewards/semantic_consistency_reward/std': 0.1974109649658203, 'rewards/conditional_perplexity_reward/mean': 0.16030508279800415, 'rewards/conditional_perplexity_reward/std': 0.04635280221700668, 'reward': 1.2453050136566162, 'reward_std': 2.587408372759819, 'frac_reward_zero_std': 0.0, 'entropy': 1.5117055594921112, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 83.26975968000406, 'epoch': 0.06}
{'eval_loss': 0.012292655184864998, 'eval_runtime': 3121.2931, 'eval_samples_per_second': 0.032, 'eval_steps_per_second': 0.004, 'eval_num_tokens': 52458.0, 'eval_completions/mean_length': 92.9575, 'eval_completions/min_length': 58.28, 'eval_completions/max_length': 142.0, 'eval_completions/clipped_ratio': 0.0275, 'eval_completions/mean_terminated_length': 89.99488143920898, 'eval_completions/min_terminated_length': 58.28, 'eval_completions/max_terminated_length': 131.46, 'eval_rewards/lazy_penalty_reward/mean': -0.4, 'eval_rewards/lazy_penalty_reward/std': 0.9250699949264526, 'eval_rewards/strict_format_and_content_reward/mean': 1.2975, 'eval_rewards/strict_format_and_content_reward/std': 1.4446888411045073, 'eval_rewards/semantic_consistency_reward/mean': 0.10149999722838401, 'eval_rewards/semantic_consistency_reward/std': 0.2347060114145279, 'eval_rewards/conditional_perplexity_reward/mean': 0.14827977284789085, 'eval_rewards/conditional_perplexity_reward/std': 0.04975253850221634, 'eval_reward': 1.1472797530889511, 'eval_reward_std': 2.4393045157939195, 'eval_frac_reward_zero_std': 0.0, 'eval_entropy': 1.59703284740448, 'eval_clip_ratio/low_mean': 0.0, 'eval_clip_ratio/low_min': 0.0, 'eval_clip_ratio/high_mean': 0.0, 'eval_clip_ratio/high_max': 0.0, 'eval_clip_ratio/region_mean': 0.0, 'epoch': 0.06}
{'loss': 0.0067, 'grad_norm': 0.0, 'learning_rate': 9.637499999999999e-07, 'num_tokens': 62741.0, 'completions/mean_length': 87.775, 'completions/min_length': 49.0, 'completions/max_length': 129.4, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 85.52857208251953, 'completions/min_terminated_length': 49.0, 'completions/max_terminated_length': 116.8, 'rewards/lazy_penalty_reward/mean': -0.375, 'rewards/lazy_penalty_reward/std': 0.8164634466171264, 'rewards/strict_format_and_content_reward/mean': 1.2, 'rewards/strict_format_and_content_reward/std': 1.2789322137832642, 'rewards/semantic_consistency_reward/mean': 0.07999999523162842, 'rewards/semantic_consistency_reward/std': 0.08684962391853332, 'rewards/conditional_perplexity_reward/mean': 0.11962437778711318, 'rewards/conditional_perplexity_reward/std': 0.03560377769172192, 'reward': 1.0246243715286254, 'reward_std': 2.146559290587902, 'frac_reward_zero_std': 0.0, 'entropy': 1.584826649725437, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 71.37700419999601, 'epoch': 0.07}
{'loss': -0.0547, 'grad_norm': 0.0, 'learning_rate': 9.575e-07, 'num_tokens': 72913.0, 'completions/mean_length': 89.4, 'completions/min_length': 51.2, 'completions/max_length': 134.8, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 89.4, 'completions/min_terminated_length': 51.2, 'completions/max_terminated_length': 134.8, 'rewards/lazy_penalty_reward/mean': -0.875, 'rewards/lazy_penalty_reward/std': 1.9864803075790405, 'rewards/strict_format_and_content_reward/mean': 1.05, 'rewards/strict_format_and_content_reward/std': 2.0659204006195067, 'rewards/semantic_consistency_reward/mean': -0.009999999403953552, 'rewards/semantic_consistency_reward/std': 0.10528872013092042, 'rewards/conditional_perplexity_reward/mean': 0.13546842634677886, 'rewards/conditional_perplexity_reward/std': 0.03756633214652538, 'reward': 0.300468373298645, 'reward_std': 4.083172798156738, 'frac_reward_zero_std': 0.0, 'entropy': 1.570589755475521, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 72.1952269600035, 'epoch': 0.09}
{'loss': 0.0059, 'grad_norm': 0.0, 'learning_rate': 9.5125e-07, 'num_tokens': 83280.0, 'completions/mean_length': 91.275, 'completions/min_length': 55.2, 'completions/max_length': 147.8, 'completions/clipped_ratio': 0.025, 'completions/mean_terminated_length': 88.075, 'completions/min_terminated_length': 55.2, 'completions/max_terminated_length': 128.8, 'rewards/lazy_penalty_reward/mean': -0.25, 'rewards/lazy_penalty_reward/std': 0.7071068286895752, 'rewards/strict_format_and_content_reward/mean': 1.625, 'rewards/strict_format_and_content_reward/std': 0.914142107963562, 'rewards/semantic_consistency_reward/mean': 0.16999999284744263, 'rewards/semantic_consistency_reward/std': 0.33896602392196656, 'rewards/conditional_perplexity_reward/mean': 0.154272598028183, 'rewards/conditional_perplexity_reward/std': 0.055036299675703046, 'reward': 1.6992726564407348, 'reward_std': 1.7123166084289552, 'frac_reward_zero_std': 0.0, 'entropy': 1.5469048917293549, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 78.28561852000276, 'epoch': 0.1}
{'loss': -0.045, 'grad_norm': 0.0, 'learning_rate': 9.45e-07, 'num_tokens': 94081.0, 'completions/mean_length': 97.525, 'completions/min_length': 59.4, 'completions/max_length': 142.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 97.525, 'completions/min_terminated_length': 59.4, 'completions/max_terminated_length': 142.0, 'rewards/lazy_penalty_reward/mean': -0.5, 'rewards/lazy_penalty_reward/std': 0.8711025953292847, 'rewards/strict_format_and_content_reward/mean': 1.175, 'rewards/strict_format_and_content_reward/std': 1.5352011442184448, 'rewards/semantic_consistency_reward/mean': -0.005000001192092896, 'rewards/semantic_consistency_reward/std': 0.30665791034698486, 'rewards/conditional_perplexity_reward/mean': 0.1761943817138672, 'rewards/conditional_perplexity_reward/std': 0.05483861118555069, 'reward': 0.8461943626403808, 'reward_std': 2.338808512687683, 'frac_reward_zero_std': 0.0, 'entropy': 1.4713909894227981, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 76.2398620599939, 'epoch': 0.11}
{'loss': 0.0669, 'grad_norm': 0.0, 'learning_rate': 9.387499999999999e-07, 'num_tokens': 104483.0, 'completions/mean_length': 92.65, 'completions/min_length': 52.2, 'completions/max_length': 156.6, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 92.65, 'completions/min_terminated_length': 52.2, 'completions/max_terminated_length': 156.6, 'rewards/lazy_penalty_reward/mean': -0.875, 'rewards/lazy_penalty_reward/std': 1.6875660419464111, 'rewards/strict_format_and_content_reward/mean': 0.975, 'rewards/strict_format_and_content_reward/std': 1.954368531703949, 'rewards/semantic_consistency_reward/mean': 0.2849999874830246, 'rewards/semantic_consistency_reward/std': 0.4296814024448395, 'rewards/conditional_perplexity_reward/mean': 0.14477155208587647, 'rewards/conditional_perplexity_reward/std': 0.040179044008255005, 'reward': 0.5297714948654175, 'reward_std': 3.8499311923980715, 'frac_reward_zero_std': 0.0, 'entropy': 1.5371432915329932, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 81.62488100000046, 'epoch': 0.12}
