INFO:accelerate.utils.modeling:We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
{'loss': 3.3339, 'grad_norm': 2.124474287033081, 'learning_rate': 0.00019928122192273138, 'epoch': 0.013481631277384564}
{'loss': 1.7553, 'grad_norm': 1.8186274766921997, 'learning_rate': 0.00019838274932614555, 'epoch': 0.026963262554769128}
{'loss': 1.1605, 'grad_norm': 1.9457340240478516, 'learning_rate': 0.00019748427672955975, 'epoch': 0.04044489383215369}
{'loss': 0.9386, 'grad_norm': 1.332764744758606, 'learning_rate': 0.00019658580413297396, 'epoch': 0.053926525109538256}
{'loss': 0.9313, 'grad_norm': 1.0907909870147705, 'learning_rate': 0.00019568733153638813, 'epoch': 0.06740815638692282}
{'loss': 0.8452, 'grad_norm': 1.1666754484176636, 'learning_rate': 0.00019478885893980233, 'epoch': 0.08088978766430738}
{'loss': 0.8555, 'grad_norm': 1.0138810873031616, 'learning_rate': 0.00019389038634321654, 'epoch': 0.09437141894169195}
{'loss': 0.7655, 'grad_norm': 1.0010902881622314, 'learning_rate': 0.00019299191374663074, 'epoch': 0.10785305021907651}
{'loss': 0.8066, 'grad_norm': 0.9683958888053894, 'learning_rate': 0.00019209344115004494, 'epoch': 0.12133468149646107}
{'loss': 0.8067, 'grad_norm': 0.9598401784896851, 'learning_rate': 0.00019119496855345914, 'epoch': 0.13481631277384565}
{'loss': 0.7247, 'grad_norm': 0.9044849872589111, 'learning_rate': 0.00019029649595687334, 'epoch': 0.1482979440512302}
{'loss': 0.7792, 'grad_norm': 0.9340136647224426, 'learning_rate': 0.00018939802336028752, 'epoch': 0.16177957532861476}
{'loss': 0.7181, 'grad_norm': 1.0110366344451904, 'learning_rate': 0.00018849955076370172, 'epoch': 0.17526120660599934}
{'loss': 0.7477, 'grad_norm': 0.9929002523422241, 'learning_rate': 0.00018760107816711592, 'epoch': 0.1887428378833839}
{'loss': 0.73, 'grad_norm': 0.9543424248695374, 'learning_rate': 0.0001867026055705301, 'epoch': 0.20222446916076844}
{'loss': 0.7001, 'grad_norm': 0.9979021549224854, 'learning_rate': 0.0001858041329739443, 'epoch': 0.21570610043815303}
{'loss': 0.7303, 'grad_norm': 1.1115554571151733, 'learning_rate': 0.0001849056603773585, 'epoch': 0.22918773171553758}
{'loss': 0.7685, 'grad_norm': 0.7753696441650391, 'learning_rate': 0.0001840071877807727, 'epoch': 0.24266936299292213}
{'loss': 0.7277, 'grad_norm': 0.8440933227539062, 'learning_rate': 0.00018310871518418688, 'epoch': 0.2561509942703067}
{'loss': 0.7095, 'grad_norm': 0.9752923846244812, 'learning_rate': 0.00018221024258760108, 'epoch': 0.2696326255476913}
{'loss': 0.766, 'grad_norm': 0.8572425842285156, 'learning_rate': 0.00018131176999101528, 'epoch': 0.28311425682507585}
{'loss': 0.6857, 'grad_norm': 0.7918753623962402, 'learning_rate': 0.00018041329739442946, 'epoch': 0.2965958881024604}
{'loss': 0.7015, 'grad_norm': 1.1629586219787598, 'learning_rate': 0.00017951482479784366, 'epoch': 0.31007751937984496}
{'loss': 0.6367, 'grad_norm': 0.9319442510604858, 'learning_rate': 0.00017861635220125786, 'epoch': 0.3235591506572295}
{'loss': 0.765, 'grad_norm': 0.9797462821006775, 'learning_rate': 0.00017771787960467206, 'epoch': 0.33704078193461406}
{'loss': 0.6944, 'grad_norm': 0.842811644077301, 'learning_rate': 0.00017681940700808627, 'epoch': 0.3505224132119987}
{'loss': 0.6969, 'grad_norm': 0.9009135961532593, 'learning_rate': 0.00017592093441150047, 'epoch': 0.3640040444893832}
{'loss': 0.717, 'grad_norm': 0.8332107663154602, 'learning_rate': 0.00017502246181491467, 'epoch': 0.3774856757667678}
{'loss': 0.7162, 'grad_norm': 1.1136748790740967, 'learning_rate': 0.00017412398921832885, 'epoch': 0.39096730704415233}
{'loss': 0.6817, 'grad_norm': 0.965045154094696, 'learning_rate': 0.00017322551662174305, 'epoch': 0.4044489383215369}
{'loss': 0.6785, 'grad_norm': 0.8496617674827576, 'learning_rate': 0.00017232704402515725, 'epoch': 0.41793056959892144}
{'loss': 0.6416, 'grad_norm': 0.7475647330284119, 'learning_rate': 0.00017142857142857143, 'epoch': 0.43141220087630605}
{'loss': 0.6782, 'grad_norm': 1.2931252717971802, 'learning_rate': 0.00017053009883198563, 'epoch': 0.4448938321536906}
{'loss': 0.6781, 'grad_norm': 0.9127090573310852, 'learning_rate': 0.00016963162623539983, 'epoch': 0.45837546343107516}
{'loss': 0.6535, 'grad_norm': 0.7611309289932251, 'learning_rate': 0.00016873315363881403, 'epoch': 0.4718570947084597}
{'loss': 0.6793, 'grad_norm': 0.7784112095832825, 'learning_rate': 0.0001678346810422282, 'epoch': 0.48533872598584427}
{'loss': 0.6974, 'grad_norm': 0.8799033761024475, 'learning_rate': 0.0001669362084456424, 'epoch': 0.4988203572632289}
{'loss': 0.615, 'grad_norm': 0.9037032723426819, 'learning_rate': 0.0001660377358490566, 'epoch': 0.5123019885406134}
{'loss': 0.678, 'grad_norm': 1.0841962099075317, 'learning_rate': 0.0001651392632524708, 'epoch': 0.5257836198179979}
{'loss': 0.6538, 'grad_norm': 0.9603089690208435, 'learning_rate': 0.00016424079065588501, 'epoch': 0.5392652510953826}
{'loss': 0.711, 'grad_norm': 1.330370545387268, 'learning_rate': 0.00016334231805929922, 'epoch': 0.5527468823727671}
{'loss': 0.6359, 'grad_norm': 0.8974162340164185, 'learning_rate': 0.0001624438454627134, 'epoch': 0.5662285136501517}
{'loss': 0.6442, 'grad_norm': 1.1304340362548828, 'learning_rate': 0.0001615453728661276, 'epoch': 0.5797101449275363}
{'loss': 0.692, 'grad_norm': 0.9807245135307312, 'learning_rate': 0.0001606469002695418, 'epoch': 0.5931917762049208}
{'loss': 0.5997, 'grad_norm': 0.8756445646286011, 'learning_rate': 0.000159748427672956, 'epoch': 0.6066734074823054}
{'loss': 0.6215, 'grad_norm': 0.7994601726531982, 'learning_rate': 0.00015884995507637017, 'epoch': 0.6201550387596899}
{'loss': 0.64, 'grad_norm': 0.7154099345207214, 'learning_rate': 0.00015795148247978438, 'epoch': 0.6336366700370745}
{'loss': 0.6341, 'grad_norm': 1.010913610458374, 'learning_rate': 0.00015705300988319858, 'epoch': 0.647118301314459}
{'loss': 0.698, 'grad_norm': 0.8699207901954651, 'learning_rate': 0.00015615453728661275, 'epoch': 0.6605999325918436}
{'loss': 0.6355, 'grad_norm': 0.8595067262649536, 'learning_rate': 0.00015525606469002695, 'epoch': 0.6740815638692281}
{'loss': 0.6441, 'grad_norm': 0.8992286324501038, 'learning_rate': 0.00015435759209344116, 'epoch': 0.6875631951466128}
{'loss': 0.6202, 'grad_norm': 0.8475356698036194, 'learning_rate': 0.00015345911949685536, 'epoch': 0.7010448264239973}
{'loss': 0.7253, 'grad_norm': 1.1166949272155762, 'learning_rate': 0.00015256064690026953, 'epoch': 0.7145264577013819}
{'loss': 0.6608, 'grad_norm': 0.7836099863052368, 'learning_rate': 0.00015166217430368374, 'epoch': 0.7280080889787665}
{'loss': 0.6589, 'grad_norm': 0.9688403010368347, 'learning_rate': 0.00015076370170709794, 'epoch': 0.741489720256151}
{'loss': 0.6388, 'grad_norm': 0.7779471278190613, 'learning_rate': 0.00014986522911051214, 'epoch': 0.7549713515335356}
{'loss': 0.6906, 'grad_norm': 0.9309332966804504, 'learning_rate': 0.00014896675651392634, 'epoch': 0.7684529828109201}
{'loss': 0.6416, 'grad_norm': 1.1737970113754272, 'learning_rate': 0.00014806828391734054, 'epoch': 0.7819346140883047}
{'loss': 0.6572, 'grad_norm': 0.8910409212112427, 'learning_rate': 0.00014716981132075472, 'epoch': 0.7954162453656892}
